,Experiment,AIMNET,ATX,ATXclean,MOMOL_AM1,MOMOL_MNDOD,MOMOL_MNDO,MOMOL_PM3,MOMOL_PM6,MOMOL_PM7,MPC_AM1,MPC_MNDOD,MPC_MNDO,MPC_PM3,MPC_PM6,MPC_PM7,NWChem,PySCF,w06-2x+def2-TZVPP,wB97x+def2-TZVPP(partial)
AAADKYXUTOBAGS-OIBJUYFYSA-N,3.817,0.108887136,0.046868047,0.046868047,0.09588572,0.041562878,0.050317377,0.05638088,0.11443231,0.08539434,0.02785205,,0.01915319,0.02943398,,,,0.054380231,0.046593,0.054989854
AAAXMNYUNVCMCJ-UHFFFAOYSA-N,1.9,,0.015287533,0.015287533,0.04513479,0.010405065,0.027035482,0.028247563,0.03381369,0.027565062,,,,,,,0.016947,0.01642829,0.015816,
AATNZNJRDOVKDD-UHFFFAOYSA-N,9.172,,0.080695807,0.080695807,0.24315605,0.15661915,0.19706073,0.18823028,0.22192155,0.1532839,0.07617683,,0.06588267,0.05459661,,,0.078758,0.094291621,0.083911,0.09114315
ABXGMGUHGLQMAW-UHFFFAOYSA-N,4.662,0.1452722,0.060692622,0.060692622,0.08468236,0.077947505,0.07796182,0.086043134,0.13185802,0.1246061,0.02899798,0.03103584,0.03102978,0.02373322,0.03502051,0.03043456,0.057517,0.068810727,0.05749,0.067607287
ADSOSINJPNKUJK-UHFFFAOYSA-N,7.239,0.13471177,0.061245636,0.061245636,0.12408316,0.07584574,0.07584827,0.09905988,0.13112381,0.14011513,0.03473324,0.04042422,0.04042615,0.04119296,0.04513523,0.0462645,0.070172,0.045166315,0.069601,0.046549251
AEKVBBNGWBBYLL-UHFFFAOYSA-N,4.662,0.14232974,0.065651785,0.065651785,0.053984515,0.050947558,0.05096448,0.050128557,0.074843206,0.08599508,0.02088503,0.02519196,0.02519265,0.0362273,0.03002495,0.03172801,0.067876,0.073606276,0.066194,0.076135916
AFHUWZFARIICFX-UHFFFAOYSA-N,6.39,0.16686349,0.069432211,0.069432211,0.11017881,0.11846639,0.115086794,0.11556559,0.14314385,0.1445361,0.05057311,,0.05198023,0.04432446,,,0.064192,0.077929322,0.067214,0.077165756
AGSPXMVUFBBBMO-UHFFFAOYSA-N,5.906,0.15346698,0.06928449,0.06928449,0.06323258,0.051117912,0.05114299,0.065719076,0.091336116,0.103966996,0.03378241,0.03321709,0.03322324,0.03802206,0.04293433,0.0459618,0.06755,,0.067392,0.075968447
AHHWIHXENZJRFG-UHFFFAOYSA-N,6.083,0.1284776,0.067585774,0.067585774,0.10622878,0.0934802,0.093480766,0.09255472,0.16364568,0.14428814,0.03177102,0.03880406,0.03880455,0.02630539,0.04199275,0.03715355,0.066465,,0.066227,0.065883302
AHJWSRRHTXRLAQ-UHFFFAOYSA-N,4.973,0.10929693,0.051133636,0.051133636,0.10615718,0.08769356,0.08735438,0.08403466,0.14801827,0.13282806,0.03178387,0.03045014,0.03039456,0.02859855,0.05140798,0.04211948,0.047383,0.059054129,0.045609,0.054615784
