,Experiment,NWChem,AIMNET,ATX,ATXclean,MOMOL_AM1,MOMOL_MNDOD,MOMOL_MNDO,MOMOL_PM3,MOMOL_PM6,MOMOL_PM7,MPC_AM1,MPC_MNDOD,MPC_MNDO,MPC_PM3,MPC_PM6,MPC_PM7,w06-2x+def2-TZVPP
ADBSTNAYQBHUDD-UHFFFAOYSA-N,3.6,0.092453,0.163376400,0.075522298,0.075522298,0.086250120,0.074364536,0.060147160,0.082032226,0.130795500,0.124537766,0.040169980,,0.034824810,0.041352460,,,0.095173000
AFBPFSWMIHJQDM-UHFFFAOYSA-N,2.1,0.069179,0.118866590,0.058508835,0.058508835,0.059864976,0.029023997,0.033953927,0.036378030,0.071668530,0.082026970,0.026986330,0.019407740,0.021242580,0.020638160,0.030112310,0.033409810,0.072803000
AMCTWDASUQVRCQ-UHFFFAOYSA-N,4.4,0.109772,0.199654950,0.097096280,0.097096280,0.116564750,0.123634130,0.127687070,0.097323580,0.152831400,0.157244490,0.035672230,,0.047715750,0.035934080,,,0.113492000
ARCZSDSOONGBRX-UHFFFAOYSA-N,3.8,0.094153,0.161716150,0.077219931,0.077219931,0.113430710,0.102866110,0.102871190,0.165742470,0.123924550,0.131658330,0.045881370,0.045493370,0.045495360,0.050912250,0.043823370,0.045350250,0.101928000
ASHGTJPOSUFTGB-UHFFFAOYSA-N,3.8,0.098741,0.162664490,0.091681370,0.091681370,0.081136174,0.070024300,0.069956094,0.074346800,0.110853600,0.114572436,0.030688520,0.030901070,0.030905310,0.028511750,0.036688630,0.036989960,0.102522000
ASSKVPFEZFQQNQ-UHFFFAOYSA-N,4.4,0.102019,0.167276050,0.077940057,0.077940057,0.116640985,0.091190320,0.091198550,0.090274260,0.126786200,0.131203980,0.042729750,0.038043790,0.038023430,0.036160080,0.044488140,0.044544240,0.109388000
ATHHXGZTWNVVOU-UHFFFAOYSA-N,2.9,0.086817,0.161553770,0.078434842,0.078434842,0.095620750,0.074520370,0.074615530,0.088868484,0.115330770,0.118484790,0.040358030,0.037746810,0.037767760,0.039700390,0.042949130,0.042552420,0.092560000
BACKYMNXXFPCRL-UHFFFAOYSA-N,3.8,0.096191,0.160019030,0.076104468,0.076104468,0.086643880,0.077633610,0.060963620,0.084773370,0.130848210,0.123612580,0.038932520,,0.031853460,0.042228360,,,0.098699000
BAYGVMXZJBFEMB-UHFFFAOYSA-N,4.3,0.11466,0.198072910,0.102169265,0.102169265,0.111378275,0.102279216,0.102318020,0.101209340,0.148825260,0.151348200,0.048245350,0.049089480,0.049079210,0.045228650,0.052563540,0.051872050,0.117476000
BCQZXOMGPXTTIC-PVQJCKRUSA-N,,0.067696,,0.065853004,0.065853004,0.090997550,0.090968820,0.103825070,0.070093420,0.130992220,0.121066140,0.024377570,,0.028876450,0.026946020,,,0.072950000
BDERNNFJNOPAEC-UHFFFAOYSA-N,2.6,0.082798,0.145700600,0.079851966,0.079851966,0.054736390,0.053489864,0.053490594,0.055621713,0.079674214,0.084641755,0.020247760,0.025241300,0.025244200,0.020536390,0.024185100,0.024088090,0.086488000
BKZXZGWHTRCFPX-UHFFFAOYSA-N,2.9,0.080319,0.148219570,0.085252331,0.085252331,0.064257940,0.059735667,0.059767990,0.066925810,0.094445765,0.094037280,0.025529470,0.028251340,0.028333350,0.020322200,0.032423750,0.032036060,0.083492000
BPRYUXCVCCNUFE-UHFFFAOYSA-N,3,0.092731,0.158985970,0.088286415,0.088286415,0.073344060,0.069807630,0.069720860,0.070455460,0.096044764,0.102277400,0.023921810,0.030431210,0.030428430,0.028885790,0.033048270,0.033584580,0.093149000
BTANRVKWQNVYAZ-SCSAIBSYSA-N,,0.079029,0.136368400,0.077816242,0.077816242,0.045455270,0.050743755,0.050743070,0.048677444,0.069870440,0.073161950,0.018599480,0.024393410,0.024395510,0.019852340,0.024035500,0.024431540,0.080183000
BTJIUGUIPKRLHP-UHFFFAOYSA-N,4.7,0.124423,0.210317080,0.113571037,0.113571037,0.126873100,0.113975406,0.113947170,0.124295056,0.165060640,0.164675650,0.054810400,0.054122790,0.054124680,0.050681870,0.060326240,0.058182870,0.126215000
BYEAHWXPCBROCE-UHFFFAOYSA-N,4.5,0.109631,0.189850300,0.098751969,0.098751969,0.130752530,0.148553210,0.148566170,0.121295236,0.163376150,0.175389380,0.042960080,0.073515290,0.073416700,0.046165590,0.047465850,0.048337600,0.119515000
CHZCERSEMVWNHL-UHFFFAOYSA-N,4.4,0.119772,0.214025200,0.103883640,0.103883640,0.103053110,0.088460535,0.088474020,0.096936820,0.144069820,0.148032220,0.047112930,0.044084170,0.044087680,0.045909790,0.053578020,0.052625010,0.122251000
CRBJBYGJVIBWIY-UHFFFAOYSA-N,3.6,0.091441,0.159081680,0.092631612,0.092631612,0.071548640,0.062118173,0.062142126,0.072286340,0.112553510,0.113686040,0.025677940,0.027831020,0.027895870,0.022443760,0.031430540,0.032705830,0.093203000
CSDUKRUFTFEFBO-PGNZUDIJSA-N,,0.084129,0.143210260,0.078835432,0.078835432,0.053261314,0.051812370,0.051959004,0.053878915,0.080021046,0.083034890,0.053002650,0.026909610,0.026777260,0.233253200,0.019754670,0.021611530,
CUYKNJBYIJFRCU-UHFFFAOYSA-N,2.8,0.083836,0.144249140,0.070920578,0.070920578,0.091193720,0.046732366,0.046669904,0.048920315,0.094237120,0.114167884,0.035316940,0.026923920,0.026811800,0.029746460,0.037733780,0.042163220,0.081825000
CVNOWLNNPYYEOH-UHFFFAOYSA-N,4.6,0.121601,0.206531400,0.107893609,0.107893609,0.106652080,0.092085585,0.092100486,0.099461390,0.147199970,0.152114970,0.041163930,0.045433210,0.045434200,0.038976660,0.050824810,0.050982360,0.123165000
CYCKHTAVNBPQDB-UHFFFAOYSA-N,4.3,0.093646,0.164066230,0.075461719,0.075461719,0.085896640,0.075866040,0.054504618,0.078833700,0.116857070,0.110691120,0.031577140,,0.023685970,0.030777670,,,0.096207000
CYWUZSYXTCCCRG-UHFFFAOYSA-N,2.8,0.08016,0.146086920,0.068180916,0.068180916,0.080083060,0.061674643,0.061341684,0.056518327,0.096387340,0.103595390,0.032129210,0.031268930,0.031429050,0.024173310,0.039427480,0.038144150,
DEHSPEZTBSYMPL-UHFFFAOYSA-N,,0.057491,,0.047222085,0.047222085,0.140875830,0.076278550,0.070957040,0.159051910,0.079848340,0.063388830,0.032745420,,0.031021310,0.035318460,,,
DETZZVPMDQPJIC-UHFFFAOYSA-N,1.8,0.059456,,0.051146742,0.051146742,0.207217340,0.072833960,0.072588080,0.129438550,0.085715080,0.083802720,0.038603650,,0.030631090,0.037150480,,,
DIBFBUQGVMZWTM-UHFFFAOYSA-N,4.3,0.119005,0.215289610,0.095999972,0.095999972,0.161270070,0.149840060,0.149806870,0.147244690,0.177818330,0.188694630,0.061787150,0.066501750,0.066516510,0.070342150,0.065329050,0.067689060,0.128999000
DIKBFYAXUHHXCS-UHFFFAOYSA-N,2.1,0.066645,,0.066212930,0.066212930,0.049615650,0.040920560,0.053027883,0.057608150,0.117946240,0.092333750,0.017721280,,0.013268600,0.020583180,,,0.068136000
DKGAVHZHDRPRBM-UHFFFAOYSA-N,2.7,0.078788,0.135638270,0.078099913,0.078099913,0.044649266,0.045566007,0.045541400,0.048868790,0.071336670,0.074548800,0.020202750,0.024460420,0.024462110,0.019476880,0.022940800,0.023013330,0.081170000
DMBHHRLKUKUOEG-UHFFFAOYSA-N,2.7,0.078244,0.135473890,0.064567228,0.064567228,0.074216720,0.030876614,0.031040614,0.041971967,0.094843430,0.102927190,0.032542420,0.020515670,0.020723030,0.023035260,0.038785300,0.041154030,0.081477000
DNJIEGIFACGWOD-UHFFFAOYSA-N,1.4,0.037196,0.064384260,0.037699198,0.037699198,0.026265710,0.015761612,0.014473259,0.021805035,0.068624290,0.058892466,0.011593450,,0.007511284,0.013603510,,,0.042587000
DOYODMYEMDHHCE-UHFFFAOYSA-N,,0.055655,,0.050183986,0.050183986,0.126386180,0.066525260,0.064376920,0.102978820,0.065673770,0.064731985,0.032517760,,0.028385310,0.036147480,,,
DPJCXCZTLWNFOH-UHFFFAOYSA-N,2.9,0.091719,0.160167440,0.078165937,0.078165937,0.121381780,0.074638480,0.073374580,0.119382040,0.135317640,0.141658510,0.046879280,0.036865870,0.037152500,0.033834730,0.052912510,0.052358410,0.095589000
DPOZWTRVXPUOQW-UHFFFAOYSA-N,1.9,0.058343,,0.056676078,0.056676078,0.076642860,0.084051680,0.089074060,0.074315520,0.119704380,0.110356160,0.021711050,,0.023798300,0.023519960,,,0.062589000
DTQVDTLACAAQTR-UHFFFAOYSA-N,5.3,0.123641,0.208923970,0.103519441,0.103519441,0.120430216,0.117405830,0.117427570,0.109340120,0.156553850,0.163752100,0.038449400,0.046197480,0.046198390,0.037766580,0.045329130,0.046618400,0.133480000
DXYPGMZJNUIZMU-UHFFFAOYSA-N,2.2,0.073476,0.123785500,0.074251411,0.074251411,0.037710708,0.046378825,0.046421688,0.045907240,0.062098898,0.062231460,0.016813550,0.020816030,0.020804560,0.020936210,0.022150030,0.020396640,
FCLOSAGZCUDMFV-UHFFFAOYSA-N,3.7,0.088745,0.153462260,0.071385684,0.071385684,0.103235770,0.088247480,0.088043100,0.158039720,0.116999980,0.124726660,0.037831110,0.043164630,0.043157760,0.048148760,0.040711780,0.041692520,0.095490000
FDDDTDSPQXLQFY-UHFFFAOYSA-N,3.3,0.076405,0.130332080,0.057830687,0.057830687,0.076864175,0.075834350,0.066150790,0.069163770,0.103252740,0.106084320,0.029784750,,0.025300530,0.027896540,,,0.078477000
FDQQNNZKEJIHMS-UHFFFAOYSA-N,3.6,0.096828,0.163500950,0.089999257,0.089999257,0.075584725,0.068457840,0.068458300,0.070200816,0.104236170,0.108140860,0.028859940,0.031854460,0.031855690,0.026769090,0.033209200,0.033140060,0.098868000
FLFWJIBUZQARMD-UHFFFAOYSA-N,4.6,0.106332,0.176445710,0.079384142,,0.113984330,0.094849560,0.088727360,0.102451816,0.141979170,0.141723810,0.041275680,,0.037170510,0.041858920,,,0.110964000
FMVJYQGSRWVMQV-UHFFFAOYSA-N,2.3,0.069756,0.113762130,0.063600721,0.063600721,0.123216495,0.098466195,0.098436830,0.104666490,0.109827750,0.108003450,0.046564280,0.039192270,0.039194140,0.045250890,0.042234590,0.041077030,0.077517000
FMWLUWPQPKEARP-UHFFFAOYSA-N,1.9,0.067547,,0.069541090,0.069541090,0.076253235,0.067121260,0.083207830,0.048223770,0.121108200,0.104720816,0.020185780,,0.020660960,0.018768690,,,0.068259000
FOCAUTSVDIKZOP-UHFFFAOYSA-N,4.4,0.109929,0.191007230,0.094439398,0.094439398,0.096495450,0.089319885,0.099081900,0.074889780,0.119221790,0.124097260,0.024503550,,0.029902240,0.022713380,,,0.116116000
FORKADXOPFAOHL-UHFFFAOYSA-N,4.3,0.096565,0.168869900,0.077211346,0.077211346,0.089181350,0.078044444,0.062515140,0.088195920,0.135954990,0.128167350,0.035776080,,0.030896100,0.035914550,,,0.099110000
FPTMVKXIMZNRJX-UHFFFAOYSA-N,4.5,0.103171,0.186495270,0.078116537,0.078116537,0.103910610,0.094309060,0.086023934,0.097072580,0.127553640,0.133090020,0.040532660,,0.040235870,0.048121690,,,0.107952000
